ID	Team	Country	NameF	NameL	Weight	Height	DOB	Hometown	Prov	Pos	Age	HeightFt	HtIn	BMI
56	Women	USA	Kali	Flanagan	142	5'4	9/19/1995	Burlington	Mass.	Defence	26	5.333333333	64	24
57	Women	USA	Nicole	Hensley	155	5'7	6/23/1994	Lakewood	Colo.	Goalie	27	5.583333333	67	24
58	Women	USA	Megan	Keller	160	5'11	5/1/1996	Farmington	Mich.	Defence	25	5.916666667	71	22
59	Women	USA	Amanda	Kessel	136	5'5	8/28/1991	Madison	Wis.	Forward	30	5.416666667	65	23
60	Women	USA	Hilary	Knight	175	5'11	7/12/1989	Sun Valley	Idaho	Forward	32	5.916666667	71	24
61	Women	USA	Jocelyne	Lamoureux-Davidson	150	5'6	7/3/1989	Grand Forks	N.D.	Forward	32	5.5	66	24
62	Women	USA	Monique	Lamoureux-Morando	147	5'6	7/3/1989	Grand Forks	N.D.	Forward	32	5.5	66	24
63	Women	USA	Gigi	Marvin	159	5'8	3/7/1987	Warroad	Minn.	Forward	34	5.666666667	68	24
64	Women	USA	Sidney	Morin	140	5'5	6/6/1995	Minnetonka	Minn.	Defence	26	5.416666667	65	23
65	Women	USA	Kelly	Pannek	165	5'8	12/29/1995	Plymouth	Minn.	Forward	25	5.666666667	68	25
66	Women	USA	Amanda	Pelkey	135	5'3	5/29/1993	Montpelier	Vt.	Forward	28	5.25	63	24
67	Women	USA	Emily	Pfalzer	125	5'3	6/14/1993	Buffalo	N.Y.	Defence	28	5.25	63	22
68	Women	USA	Alex	Rigsby	150	5'7	1/3/1992	Delafield	Wis.	Goalie	29	5.583333333	67	23
69	Women	USA	Maddie	Rooney	145	5'5	7/7/1997	Andover	Minn.	Goalie	24	5.416666667	65	24
70	Women	USA	Haley	Skarupa	140	5'6	1/3/1994	Rockville	Md.	Forward	27	5.5	66	23
71	Women	USA	Lee	Stecklein	175	6'0	4/23/1994	Roseville	Minn.	Defence	27	6	72	24
97	Women	INDIA	AMIT	PATIL	148	5'7	2/12/1987	Ruthven	Ont.	Forward	34	5.583333333	67	23
